Name,Team,P,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG,FO,FO%
Adam Bomberry,New England Black Wolves,D,16,3,6,9,24,0,0,0,85,7,13,0,0,4/17,24%
Adam Perroni,New England Black Wolves,D,2,0,0,0,0,0,0,0,4,0,0,0,0,0/1,-
Alex Buque,New England Black Wolves,G,18,0,1,1,0,0,0,0,2,0,0,0,0,0/0,-
Andrew Suitor,New England Black Wolves,D,18,3,7,10,40,0,0,0,84,17,21,0,0,17/53,32%
Brett Manney,New England Black Wolves,D,18,2,6,8,20,0,0,0,51,8,13,0,0,0/0,-
Callum Crawford,New England Black Wolves,F,16,48,61,109,33,0,0,0,78,57,8,0,0,1/1,100%
Colton Watkinson,New England Black Wolves,T,18,8,5,13,22,0,0,0,56,9,9,0,0,0/0,-
Dave Emala,New England Black Wolves,F,7,7,6,13,10,0,0,0,15,6,1,0,0,0/0,-
David Brock,New England Black Wolves,D,18,10,7,17,20,0,0,0,104,9,34,0,0,1/4,25%
Dereck Downs,New England Black Wolves,F,15,16,7,23,2,0,0,0,46,22,3,0,0,0/0,-
Doug Jamieson,New England Black Wolves,G,18,1,1,2,0,0,0,0,6,0,0,0,0,0/0,-
Greg Downing,New England Black Wolves,D,18,1,5,6,10,0,0,0,118,13,26,0,0,0/0,-
Jackson Nishimura,New England Black Wolves,D,13,3,4,7,4,0,0,0,71,11,8,0,0,0/0,-
Joe Resetarits,New England Black Wolves,F,17,28,39,67,4,0,0,0,70,40,0,0,0,0/0,-
Joel Coyle,New England Black Wolves,D,18,0,5,5,17,0,0,0,75,13,16,0,0,0/0,-
John LaFontaine,New England Black Wolves,T,15,1,5,6,0,0,0,0,42,4,5,0,0,0/0,-
JP Kealey,New England Black Wolves,F,6,3,10,13,0,0,0,0,19,4,1,0,0,0/0,-
Kevin Buchanan,New England Black Wolves,F,4,2,6,8,2,0,0,0,4,1,1,0,0,0/0,-
Mackenzie Mitchell,New England Black Wolves,D,8,0,3,3,2,0,0,0,20,6,3,0,0,0/0,-
Mike Byrne,New England Black Wolves,D,1,0,0,0,0,0,0,0,2,1,0,0,0,3/15,20%
Nick Chaykowsky,New England Black Wolves,D,16,2,7,9,2,0,0,0,60,8,2,0,0,0/0,-
Quinn Powless,New England Black Wolves,F,5,3,5,8,0,0,0,0,8,6,1,0,0,0/0,-
Reilly O'Connor,New England Black Wolves,F,18,27,49,76,8,0,0,0,58,27,1,0,0,0/0,-
Ryan Fournier,New England Black Wolves,D,17,3,0,3,22,0,0,0,80,14,12,0,0,195/409,48%
Seth Oakes,New England Black Wolves,F,6,4,7,11,0,0,0,0,11,11,1,0,0,0/0,-
Stephan Leblanc,New England Black Wolves,F,18,27,66,93,13,0,0,0,58,48,8,0,0,2/6,33%
Tyler Digby,New England Black Wolves,F,17,27,45,72,14,0,0,0,49,33,3,0,0,0/0,-
