Name,Team,P,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG,FO,FO%
Austin Shanks,Halifax Thunderbirds,,9,16,16,32,4,0,0,0,45,28,0,0,0,0/0,-
Brad Gillies,Halifax Thunderbirds,,11,2,3,5,4,0,0,0,34,0,7,0,0,0/0,-
Brandon Robinson,Halifax Thunderbirds,,4,1,2,3,5,0,0,0,15,2,2,0,0,0/0,-
Chet Koneczny,Halifax Thunderbirds,,2,0,0,0,2,0,0,0,7,0,1,0,0,0/0,-
Chris Boushy,Halifax Thunderbirds,,4,1,6,7,2,0,0,0,14,6,0,0,0,0/0,-
Clarke Petterson,Halifax Thunderbirds,,11,16,22,38,4,0,0,0,60,18,1,0,0,0/0,-
Cody Jamieson,Halifax Thunderbirds,,12,26,33,59,18,0,0,0,45,26,0,0,0,0/0,-
Colton Armstrong,Halifax Thunderbirds,,11,1,6,7,8,0,0,0,43,6,6,0,0,0/0,-
Cory Becker,Halifax Thunderbirds,,5,1,0,1,4,0,0,0,16,0,4,0,0,0/0,-
Eric Fannell,Halifax Thunderbirds,,9,6,5,11,10,0,0,0,29,11,0,0,0,0/0,-
Graeme Hossack,Halifax Thunderbirds,,12,9,9,18,7,0,0,0,106,8,19,0,0,2/2,100%
Jake Withers,Halifax Thunderbirds,,12,2,4,6,12,0,0,0,147,15,8,0,0,242/310,78%
James Barclay,Halifax Thunderbirds,,11,2,0,2,8,0,0,0,54,4,12,0,0,0/1,-
Kyle Jackson,Halifax Thunderbirds,,11,8,17,25,6,0,0,0,44,21,1,0,0,0/0,-
Luc Magnan,Halifax Thunderbirds,,12,0,3,3,16,0,0,0,38,6,5,0,0,0/0,-
Mike Burke,Halifax Thunderbirds,,10,8,23,31,5,0,0,0,42,15,0,0,0,0/0,-
Nonkon Thompson,Halifax Thunderbirds,,10,0,1,1,22,0,0,0,30,2,5,0,0,0/0,-
Peter Dubenski,Halifax Thunderbirds,G,12,0,0,0,0,0,0,0,1,0,0,0,0,0/0,-
Ryan Benesch,Halifax Thunderbirds,,12,18,33,51,5,0,0,0,76,35,0,0,0,0/0,-
Scott Campbell,Halifax Thunderbirds,,12,3,8,11,33,0,0,0,90,5,13,0,0,1/1,100%
Stephen Keogh,Halifax Thunderbirds,,12,18,16,34,8,0,0,0,41,21,0,0,0,0/0,-
Trevor Smyth,Halifax Thunderbirds,,12,1,1,2,10,0,0,0,48,7,11,0,0,0/0,-
Warren Hill,Halifax Thunderbirds,G,12,0,3,3,2,0,0,0,0,1,0,0,0,0/0,-
