Name,Team,P,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG,FO,FO%
Alex Woodall,Colorado Mammoth,T,8,2,0,2,0,0,0,0,31,5,2,0,0,97/215,45%
Brett McIntyre,Colorado Mammoth,F,2,0,0,0,0,0,0,0,7,4,0,0,0,0/0,-
Chris Wardle,Colorado Mammoth,F,18,17,29,46,8,0,0,0,57,31,7,0,0,0/0,-
Connor Robinson,Colorado Mammoth,F,18,42,29,71,0,0,0,0,84,35,4,0,0,0/1,-
Dillon Ward,Colorado Mammoth,G,18,0,11,11,2,0,0,0,23,9,2,0,0,0/0,-
Dylan Kinnear,Colorado Mammoth,F,11,7,9,16,6,0,0,0,17,15,2,0,0,4/27,15%
Eli McLaughlin,Colorado Mammoth,F,18,38,45,83,6,0,0,0,66,40,4,0,0,0/0,-
Erik Turner,Colorado Mammoth,T,17,2,6,8,7,0,0,0,51,6,9,3,0,7/32,22%
Jalen Chaster,Colorado Mammoth,T,16,2,3,5,8,0,0,0,61,11,11,9,0,0/2,-
Joey Cupido,Colorado Mammoth,T,14,6,4,10,4,0,0,0,84,6,21,12,0,0/0,-
John Lintz,Colorado Mammoth,D,17,1,5,6,12,0,0,0,51,4,16,12,0,1/15,7%
Jordan Gilles,Colorado Mammoth,D,16,5,4,9,2,0,0,0,100,12,20,7,0,0/0,-
Josh Sullivan,Colorado Mammoth,D,18,1,3,4,6,0,0,0,33,6,4,13,0,0/0,-
Nate Faccin,Colorado Mammoth,G,7,0,0,0,0,0,0,0,0,0,0,0,0,0/0,-
Nick Finlay,Colorado Mammoth,D,2,0,0,0,2,0,0,0,6,0,1,0,0,0/0,-
Robert Hope,Colorado Mammoth,D,15,0,6,6,16,0,0,0,128,14,27,18,0,0/0,-
Ryan Lee,Colorado Mammoth,F,18,34,85,119,13,0,0,0,68,65,3,1,0,0/0,-
Scott Carnegie,Colorado Mammoth,D,18,0,1,1,14,0,0,0,45,6,19,5,0,0/0,-
Tim Edwards,Colorado Mammoth,D,8,0,0,0,0,0,0,0,33,5,4,3,0,86/175,49%
Tyler Carlson,Colorado Mammoth,G,11,0,0,0,0,0,0,0,8,0,0,0,0,0/0,-
Warren Jeffrey,Colorado Mammoth,D,17,2,3,5,42,0,0,0,75,6,15,9,0,0/0,-
Zed Williams,Colorado Mammoth,F,16,20,25,45,13,0,0,0,54,58,5,1,0,0/0,-
