Name,Team,P,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG,FO,FO%
Andrew Borgatti,New York Riptide,D,17,2,7,9,0,0,0,0,68,6,8,7,0,0/0,-
Brent Noseworthy,New York Riptide,T,15,0,4,4,29,0,0,0,53,2,6,4,0,12/39,31%
Bryce Tolmie,New York Riptide,D,6,0,2,2,0,0,0,0,34,3,6,1,0,0/0,-
Callum Crawford,New York Riptide,F,15,39,49,88,6,0,0,0,81,50,4,2,0,0/0,-
Connor Kearnan,New York Riptide,F,18,33,28,61,2,0,0,0,58,31,0,0,0,0/0,-
Damon Edwards,New York Riptide,D,16,5,5,10,12,0,0,0,63,8,12,13,0,0/0,-
Dan Lomas,New York Riptide,F,9,16,6,22,0,0,0,0,31,15,8,0,0,0/0,-
Dan MacRae,New York Riptide,D,18,5,7,12,28,0,0,0,83,6,18,7,0,0/0,-
Darryl Robertson,New York Riptide,D,17,1,9,10,12,0,0,0,77,11,10,9,0,0/0,-
Gowah Abrams,New York Riptide,G,17,0,0,0,0,0,0,0,2,0,0,0,0,0/0,-
Jake Fox,New York Riptide,F,18,18,16,34,18,0,0,0,47,27,2,2,0,0/0,-
Jay Thorimbert,New York Riptide,D,18,3,3,6,10,0,0,0,104,23,11,8,0,234/506,46%
Jeff Teat,New York Riptide,F,16,37,71,108,2,0,0,0,111,69,11,1,0,0/0,-
Kieran McArdle,New York Riptide,F,17,15,38,53,8,0,0,0,81,29,10,2,0,0/0,-
Larson Sundown,New York Riptide,F,17,14,24,38,12,0,0,0,20,19,2,0,0,0/0,-
Leo Stouros,New York Riptide,D,16,0,3,3,8,0,0,0,60,4,10,11,0,0/0,-
LeRoy Halftown,New York Riptide,F,1,0,2,2,0,0,0,0,2,1,0,0,0,0/0,-
Luke Van Schepen,New York Riptide,D,2,0,0,0,4,0,0,0,6,2,0,0,0,0/0,-
Mackenzie Mitchell,New York Riptide,D,11,2,2,4,15,0,0,0,21,5,5,6,0,0/0,-
Matt Marinier,New York Riptide,D,14,0,2,2,16,0,0,0,60,10,15,8,0,0/0,-
Ron John,New York Riptide,T,17,2,8,10,4,0,0,0,68,7,10,7,0,0/0,-
Ryan Fournier,New York Riptide,T,9,1,3,4,2,0,0,0,34,3,1,2,0,1/2,50%
Scott Dominey,New York Riptide,T,17,10,6,16,6,0,0,0,120,6,18,7,0,0/1,-
Steve Orleman,New York Riptide,G,18,0,7,7,2,0,0,0,36,4,0,0,0,0/0,-
Ty Thompson,New York Riptide,F,2,0,2,2,0,0,0,0,2,5,0,0,0,0/0,-
Tyler Digby,New York Riptide,F,17,9,22,31,7,0,0,0,37,37,1,0,0,0/0,-
Tyson Gibson,New York Riptide,F,18,12,30,42,2,0,0,0,52,19,4,1,0,0/0,-
Will Johnston,New York Riptide,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0/0,-
