Name,Team,P,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG,FO,FO%
Adam Charalambides,Vancouver Warriors,F,18,14,33,47,2,0,0,0,70,29,5,0,0,0/0,-
Alex Buque,Vancouver Warriors,G,17,0,2,2,0,0,0,0,20,4,0,0,0,0/0,-
Anthony Kalinich,Vancouver Warriors,D,16,0,4,4,12,0,0,0,31,4,5,3,0,0/0,-
Brandon Goodwin,Vancouver Warriors,T,18,6,7,13,10,0,0,0,64,7,18,12,0,0/0,-
Brett Mydske,Vancouver Warriors,D,18,2,10,12,22,0,0,0,69,12,18,10,0,0/0,-
Brody Harris,Vancouver Warriors,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0/0,-
Colton Porter,Vancouver Warriors,D,1,0,1,1,0,0,0,0,5,0,0,0,0,0/0,-
Derek Lloyd,Vancouver Warriors,T,12,1,4,5,8,0,0,0,53,5,4,4,0,0/4,-
Garrett McIntosh,Vancouver Warriors,D,18,1,5,6,16,0,0,0,65,9,11,20,0,0/2,-
Jordan McBride,Vancouver Warriors,F,6,3,7,10,0,0,0,0,14,8,0,0,0,0/0,-
Justin Salt,Vancouver Warriors,T,17,0,8,8,16,0,0,0,49,5,18,8,0,0/0,-
Keegan Bal,Vancouver Warriors,F,17,44,55,99,4,0,0,0,93,38,2,0,0,0/0,-
Keegan Bell,Vancouver Warriors,T,2,0,0,0,0,0,0,0,2,1,1,0,0,0/0,-
Kyle Killen,Vancouver Warriors,F,17,43,16,59,4,0,0,0,40,32,3,0,0,0/0,-
Logan Schuss,Vancouver Warriors,F,16,19,51,70,8,0,0,0,76,24,6,0,0,0/0,-
Matthew Dinsdale,Vancouver Warriors,F,16,13,28,41,2,0,0,0,27,31,3,0,0,0/0,-
Mitch Jones,Vancouver Warriors,F,4,12,14,26,2,0,0,0,29,13,3,0,0,0/0,-
Mitchell Gustavsen,Vancouver Warriors,F,3,0,0,0,2,0,0,0,13,1,0,0,0,37/75,49%
Owen Barker,Vancouver Warriors,D,17,2,7,9,47,0,0,0,78,10,22,4,0,33/113,29%
Reid Bowering,Vancouver Warriors,D,18,13,12,25,14,0,0,0,214,17,34,26,0,0/0,-
Riley Loewen,Vancouver Warriors,F,17,17,30,47,2,0,0,0,36,26,4,0,0,0/0,-
Ryan Martel,Vancouver Warriors,F,9,6,9,15,0,0,0,0,26,8,2,0,0,14/22,64%
Steve Fryer,Vancouver Warriors,G,18,0,2,2,0,0,0,0,8,1,0,0,0,0/0,-
Thomas Semple,Vancouver Warriors,T,4,1,3,4,0,0,0,0,5,5,0,0,0,0/0,-
Tyler Codron,Vancouver Warriors,D,18,0,5,5,8,0,0,0,41,3,4,10,0,0/0,-
Tyrell Hamer-Jackson,Vancouver Warriors,D,10,2,1,3,2,0,0,0,59,7,2,1,0,152/259,59%
Tyson Roe,Vancouver Warriors,D,4,0,0,0,0,0,0,0,4,0,1,2,0,0/0,-
