Name,Team,P,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG,FO,FO%
Aaron Forster,Oshawa Fire Wolves,T,9,1,3,4,16,0,0,0,44,7,10,6,10,5/52,10%
Brent Mitchell,Oshawa Fire Wolves,F,13,0,0,0,37,0,0,0,12,2,7,2,2,1/6,17%
Brett Manney,Oshawa Fire Wolves,D,17,0,3,3,10,0,1,0,36,5,13,1,5,0/0,-
Charlie Kitchen,Oshawa Fire Wolves,F,5,2,3,5,0,0,0,0,11,6,0,0,11,0/0,-
Colton Watkinson,Oshawa Fire Wolves,T,18,8,8,16,23,1,0,2,80,9,14,1,20,0/1,-
Connor Kelly,Oshawa Fire Wolves,F,16,35,32,67,8,8,6,2,58,60,1,0,142,0/0,-
Corson Kealey,Oshawa Fire Wolves,F,3,2,2,4,0,0,0,0,2,3,0,0,13,0/0,-
Doug Jamieson,Oshawa Fire Wolves,G,17,0,3,3,2,0,0,0,12,5,3,0,0,0/0,-
Ethan Walker,Oshawa Fire Wolves,F,17,26,30,56,7,5,9,1,67,37,2,0,111,1/3,33%
Jackson Brown,Oshawa Fire Wolves,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0/0,-
Jackson Nishimura,Oshawa Fire Wolves,D,10,1,5,6,4,0,0,0,54,6,6,3,10,0/1,-
Jackson Reid,Oshawa Fire Wolves,F,7,2,6,8,0,0,0,0,30,1,5,2,8,0/0,-
Jerome Thompson,Oshawa Fire Wolves,F,17,10,21,31,14,1,5,0,37,30,2,2,55,6/47,13%
Joe Nardella,Oshawa Fire Wolves,D,1,0,0,0,0,0,0,0,17,4,2,0,1,14/24,58%
John LaFontaine,Oshawa Fire Wolves,T,17,4,10,14,6,0,0,1,91,8,18,7,14,1/2,50%
John Piatelli,Oshawa Fire Wolves,F,16,18,21,39,0,3,1,1,68,26,5,0,129,0/0,-
Jonah Boehm,Oshawa Fire Wolves,D,2,0,0,0,0,0,0,0,5,0,2,1,0,5/20,25%
Justin Geddie,Oshawa Fire Wolves,G,18,0,2,2,0,0,0,0,2,3,1,0,0,0/0,-
Justin Scott,Oshawa Fire Wolves,F,3,3,4,7,2,0,1,0,8,7,0,0,10,0/0,-
Kieran McArdle,Oshawa Fire Wolves,F,11,15,40,55,13,4,8,1,32,54,1,0,120,0/0,-
Leo Stouros,Oshawa Fire Wolves,D,17,1,1,2,10,0,0,0,32,6,4,9,1,0/0,-
Marshall Powless,Oshawa Fire Wolves,F,17,13,33,46,6,4,2,0,33,24,5,1,65,0/0,-
Mike Byrne,Oshawa Fire Wolves,D,14,0,3,3,8,0,0,0,79,7,15,3,5,51/177,29%
Nick Chaykowsky,Oshawa Fire Wolves,D,14,2,3,5,2,0,0,0,81,10,17,6,12,0/5,-
Patrick Kaschalk,Oshawa Fire Wolves,D,18,1,7,8,22,0,0,0,93,12,14,9,10,0/3,-
Tanner Thomson,Oshawa Fire Wolves,F,14,20,31,51,0,2,11,1,26,24,1,0,72,0/1,-
Thomas Vaesen,Oshawa Fire Wolves,F,6,2,7,9,0,0,0,0,9,7,0,0,11,0/0,-
Ty Logan,Oshawa Fire Wolves,D,16,0,0,0,9,0,0,0,34,4,6,6,1,0/0,-
Zac Tucci,Oshawa Fire Wolves,D,5,0,0,0,4,0,0,0,27,9,2,0,1,64/125,51%
