Name,Team,P,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG,FO,FO%
Brooker Muir,Panther City Lacrosse Club,D,6,1,0,1,8,0,0,0,23,6,12,0,4,31/82,38%
Callum Crawford,Panther City Lacrosse Club,F,13,25,31,56,6,7,9,1,53,51,5,0,111,0/0,-
Cam MacLeod,Panther City Lacrosse Club,G,18,0,1,1,0,0,0,0,10,3,0,0,1,0/0,-
Cam Milligan,Panther City Lacrosse Club,F,2,0,2,2,0,0,1,0,2,2,0,0,7,0/0,-
Cameron Wengreniuk,Panther City Lacrosse Club,F,6,4,2,6,0,1,1,0,14,9,0,0,20,0/0,-
Cole Pickup,Panther City Lacrosse Club,F,1,0,0,0,2,0,0,0,0,0,0,0,1,0/0,-
Connor Sellars,Panther City Lacrosse Club,D,14,1,5,6,6,0,0,0,60,7,12,7,3,0/0,-
Dean Fairall,Panther City Lacrosse Club,F,7,5,5,10,0,3,1,0,22,12,1,0,37,0/0,-
Dylan Hutchison,Panther City Lacrosse Club,D,13,0,7,7,8,0,1,0,48,6,7,5,4,0/0,-
Evan Messenger,Panther City Lacrosse Club,F,13,0,8,8,9,0,0,0,30,2,11,8,6,1/3,33%
Jake Fox,Panther City Lacrosse Club,F,14,11,10,21,16,1,2,0,24,19,2,0,46,0/0,-
Jonathan Donville,Panther City Lacrosse Club,F,18,23,67,90,4,2,29,0,61,51,1,0,146,0/0,-
Josh Medeiros,Panther City Lacrosse Club,T,18,21,7,28,26,0,0,0,91,17,12,8,41,0/0,-
Liam Patten,Panther City Lacrosse Club,D,16,3,8,11,21,1,0,0,68,17,12,10,7,3/13,23%
Mathieu Gautier,Panther City Lacrosse Club,F,16,16,18,34,6,5,2,0,62,30,4,0,65,0/0,-
Matt Hossack,Panther City Lacrosse Club,D,18,4,7,11,4,0,0,0,111,12,28,10,10,9/34,26%
Nate Wade,Panther City Lacrosse Club,D,6,0,0,0,9,0,0,0,9,2,1,2,0,0/0,-
Nathan Grenon,Panther City Lacrosse Club,F,13,14,11,25,8,1,2,1,46,32,1,3,56,0/0,-
Nick Damude,Panther City Lacrosse Club,G,18,1,7,8,10,0,0,0,10,6,2,0,1,0/0,-
Patrick Dodds,Panther City Lacrosse Club,F,18,22,28,50,6,8,9,0,56,42,0,0,82,0/0,-
Patrick Foley,Panther City Lacrosse Club,D,18,0,5,5,4,0,0,0,68,5,9,5,9,0/2,-
Phil Caputo,Panther City Lacrosse Club,F,16,22,17,39,9,12,5,0,32,25,0,0,81,0/0,-
Ronin Pusch,Panther City Lacrosse Club,D,2,0,0,0,0,0,0,0,6,0,0,1,1,7/17,41%
Ryan McLean,Panther City Lacrosse Club,D,7,0,3,3,9,0,0,0,19,5,6,3,1,0/0,-
Tony Malcom,Panther City Lacrosse Club,T,16,9,14,23,6,0,0,0,110,14,14,4,36,0/0,-
Tyler Burton,Panther City Lacrosse Club,D,16,2,4,6,14,0,1,0,98,12,6,8,7,149/317,47%
Will Malcom,Panther City Lacrosse Club,F,18,35,61,96,4,5,18,0,114,68,4,0,178,0/0,-
