Name,Team,P,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG,FO,FO%
Adam Bomberry,Buffalo Bandits,D,5,2,0,2,8,0,0,0,22,0,1,6,3,0/0,-
Brandon Robinson,Buffalo Bandits,F,13,9,8,17,35,0,0,0,39,11,4,3,31,0/0,-
Cam Wyers,Buffalo Bandits,D,18,0,5,5,19,0,0,0,79,4,20,21,5,1/2,50%
Chase Fraser,Buffalo Bandits,F,17,31,26,57,21,8,4,1,50,30,4,0,140,3/11,27%
Chris Cloutier,Buffalo Bandits,F,18,30,38,68,2,3,7,1,64,37,2,1,117,0/0,-
Christian Watts,Buffalo Bandits,F,2,0,1,1,0,0,0,0,3,1,0,0,4,0/0,-
Dalton Sulver,Buffalo Bandits,F,12,1,4,5,2,0,0,0,22,1,4,8,4,0/10,-
Devlin Shanahan,Buffalo Bandits,G,11,0,0,0,0,0,0,0,2,1,0,0,0,0/0,-
Dhane Smith,Buffalo Bandits,F,18,33,101,134,8,8,21,2,119,77,21,2,169,0/0,-
Dylan Robinson,Buffalo Bandits,D,17,2,4,6,12,0,0,0,63,9,9,8,6,5/40,12%
Emerson Clark,Buffalo Bandits,F,5,0,2,2,11,0,0,0,8,7,1,0,3,0/0,-
Frank Brown,Buffalo Bandits,D,3,0,0,0,4,0,0,0,12,1,1,0,0,0/0,-
Ian MacKay,Buffalo Bandits,T,18,12,17,29,16,0,0,2,160,18,19,12,48,79/234,34%
Josh Byrne,Buffalo Bandits,F,18,53,82,135,14,6,22,1,75,62,14,0,218,0/0,-
Justin Martin,Buffalo Bandits,D,15,0,3,3,7,0,0,0,23,7,11,9,0,0/0,-
Justin Robinson,Buffalo Bandits,D,9,1,0,1,0,0,0,0,21,2,4,2,3,0/0,-
Kyle Buchanan,Buffalo Bandits,F,18,23,24,47,2,5,5,0,83,12,7,0,87,0/1,-
Matt Spanger,Buffalo Bandits,D,10,1,5,6,13,0,0,0,33,4,12,9,5,0/1,-
Matt Vinc,Buffalo Bandits,G,16,0,5,5,0,0,0,0,19,5,1,0,0,0/0,-
Nick Weiss,Buffalo Bandits,T,18,5,24,29,31,0,0,0,113,10,21,13,21,7/18,39%
Sam La Roue,Buffalo Bandits,D,3,0,2,2,0,0,0,0,4,1,0,1,2,1/6,17%
Steve Orleman,Buffalo Bandits,G,9,0,0,0,0,0,0,0,2,1,0,0,0,0/0,-
Steve Priolo,Buffalo Bandits,D,18,5,8,13,30,0,0,0,120,9,24,24,6,0/0,-
Tehoka Nanticoke,Buffalo Bandits,F,16,27,16,43,10,6,0,2,37,28,1,2,83,0/1,-
Zack Belter,Buffalo Bandits,D,8,0,1,1,13,0,0,0,17,4,6,3,2,0/0,-
