Name,Team,P,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG,FO,FO%
Adam Noakes,San Diego Seals,F,4,2,6,8,2,0,1,0,9,14,0,0,14,0/0,-
Ben McIntosh,San Diego Seals,F,18,24,42,66,8,8,4,0,59,17,2,0,133,0/0,-
Cam Holding,San Diego Seals,D,17,2,3,5,4,0,0,0,53,9,7,7,4,0/0,-
Christopher Origlieri,San Diego Seals,G,18,0,6,6,0,0,0,0,17,8,1,0,0,0/0,-
Danny Logan,San Diego Seals,D,18,4,5,9,16,0,0,0,109,8,19,5,21,83/172,48%
Drew Belgrave,San Diego Seals,D,17,2,6,8,8,0,1,1,63,10,11,9,5,0/1,-
Eli Gobrecht,San Diego Seals,D,18,4,8,12,24,0,0,1,86,3,23,12,12,2/9,22%
Graydon Bradley,San Diego Seals,D,17,1,4,5,18,0,0,0,72,8,12,7,4,0/0,-
Jacob Power,San Diego Seals,D,1,0,0,0,0,0,0,0,2,0,0,0,0,0/8,-
Jake Govett,San Diego Seals,F,8,10,4,14,0,0,0,1,29,11,1,0,24,0/0,-
James Barclay,San Diego Seals,D,19,1,3,4,14,0,0,1,78,10,16,6,3,0/0,-
Jesse Gamble,San Diego Seals,T,14,1,3,4,22,0,0,0,35,3,6,1,5,0/0,-
Kellen LeClair,San Diego Seals,D,13,0,0,0,6,0,0,0,23,3,5,3,0,0/0,-
Kyle Rubisch,San Diego Seals,D,12,0,3,3,15,0,0,0,64,8,16,5,2,0/0,-
Matthew Wright,San Diego Seals,D,9,1,2,3,12,0,0,0,28,2,8,3,5,0/1,-
Mike Poulin,San Diego Seals,G,18,0,0,0,0,0,0,0,4,0,0,0,0,0/0,-
Pat Kavanagh,San Diego Seals,F,1,1,1,2,0,0,0,0,4,0,0,0,8,0/0,-
Rob Hellyer,San Diego Seals,F,18,29,64,93,8,5,17,2,80,39,2,0,165,0/0,-
Robbie Turpin,San Diego Seals,D,2,0,0,0,4,0,0,0,4,0,1,1,0,0/0,-
Ryan Benesch,San Diego Seals,F,16,27,40,67,6,9,15,0,65,32,0,0,114,0/0,-
Tre Leclaire,San Diego Seals,F,12,14,14,28,14,0,3,1,51,20,8,1,67,0/0,-
Trent DiCicco,San Diego Seals,T,18,7,11,18,29,0,1,0,95,32,5,2,31,19/57,33%
Trevor Baptiste,San Diego Seals,T,6,1,0,1,10,0,0,0,35,4,2,2,2,93/153,61%
Ty Thompson,San Diego Seals,F,5,2,4,6,0,0,0,0,5,7,0,0,12,0/0,-
Wesley Berg,San Diego Seals,F,18,49,39,88,6,11,13,1,82,44,9,0,175,0/0,-
Zach Currier,San Diego Seals,T,17,18,29,47,20,0,4,1,193,39,32,11,83,6/12,50%
Zack Deaken,San Diego Seals,D,14,0,5,5,2,0,1,0,44,1,9,4,5,0/1,-
