Name,Team,P,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG,FO,FO%
Adam Jay,Saskatchewan Rush,D,17,4,5,9,20,0,0,0,62,8,15,8,6,0/0,-
Austin Shanks,Saskatchewan Rush,F,17,35,37,72,8,12,9,0,61,49,1,0,158,0/0,-
Bobby Kidd III,Saskatchewan Rush,D,13,1,4,5,12,0,1,0,31,6,8,8,4,0/1,-
Brock Haley,Saskatchewan Rush,F,17,16,27,43,2,1,3,0,44,19,0,1,99,0/0,-
Clark Walter,Saskatchewan Rush,F,15,15,27,42,7,2,0,2,52,27,3,0,63,0/0,-
Connor McClelland,Saskatchewan Rush,D,15,0,6,6,6,0,0,0,40,4,8,0,3,0/0,-
Frank Scigliano,Saskatchewan Rush,G,16,0,2,2,2,0,0,0,7,5,0,0,0,0/0,-
Holden Garlent,Saskatchewan Rush,D,18,2,7,9,6,0,1,0,87,7,21,12,5,0/1,-
Isaac Ngyou,Saskatchewan Rush,D,5,0,1,1,4,0,0,0,13,3,5,2,0,0/0,-
Jake Boudreau,Saskatchewan Rush,T,17,10,19,29,8,1,0,2,159,12,27,12,30,0/0,-
Jake Naso,Saskatchewan Rush,T,15,2,0,2,0,0,0,0,85,7,6,0,5,214/349,61%
Jerrett Smith,Saskatchewan Rush,T,12,1,4,5,10,0,1,0,39,7,6,4,4,0/0,-
Josh Zawada,Saskatchewan Rush,F,5,4,5,9,0,0,0,0,10,6,0,0,16,0/0,-
Keegan Bell,Saskatchewan Rush,F,6,1,0,1,6,0,0,0,11,0,3,7,3,0/0,-
Laine Hruska,Saskatchewan Rush,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0/0,-
Levi Anderson,Saskatchewan Rush,F,6,5,8,13,2,0,0,0,18,9,1,0,34,0/0,-
Matt Acchione,Saskatchewan Rush,D,9,0,3,3,6,0,0,0,21,3,5,1,3,0/0,-
Matt Hossack,Saskatchewan Rush,D,18,4,17,21,4,0,0,0,129,16,34,26,10,4/20,20%
Mike Messenger,Saskatchewan Rush,T,18,2,8,10,25,0,0,1,142,19,28,22,11,40/89,45%
Mike Triolo,Saskatchewan Rush,F,16,14,15,29,2,2,0,0,30,18,2,0,65,1/4,25%
Robert Church,Saskatchewan Rush,F,14,33,40,73,0,10,14,1,58,46,1,2,130,0/0,-
Ryan Barnable,Saskatchewan Rush,D,18,3,9,12,2,0,0,0,92,10,10,12,15,0/0,-
Ryan Keenan,Saskatchewan Rush,F,18,26,47,73,6,6,18,0,85,60,2,0,143,0/0,-
Thomas Kiazyk,Saskatchewan Rush,G,18,0,1,1,0,0,0,0,1,0,0,0,0,0/0,-
Zach Manns,Saskatchewan Rush,F,18,35,39,74,2,5,17,1,87,59,1,0,156,0/0,-
