Name,Team,P,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG,FO,FO%
Adam Wiedemann,Georgia Swarm,D,10,1,5,6,2,0,0,0,52,5,8,4,8,0/0,-
Ben Trumble,Georgia Swarm,D,13,3,3,6,10,0,0,0,35,9,6,1,15,45/170,26%
Brett Dobson,Georgia Swarm,G,13,0,5,5,5,0,0,0,17,6,3,0,0,0/0,-
Bryan Cole,Georgia Swarm,T,13,9,31,40,19,1,7,0,40,32,6,1,59,0/0,-
Carter Page,Georgia Swarm,F,2,0,3,3,0,0,0,0,5,5,0,0,4,0/0,-
Devlin Shanahan,Georgia Swarm,G,13,0,0,0,0,0,0,0,2,1,2,0,0,0/0,-
Jack Travassos,Georgia Swarm,D,6,0,0,0,6,0,0,0,19,2,5,0,0,8/51,16%
Jacob Hickey,Georgia Swarm,D,13,4,6,10,8,0,0,1,68,7,11,6,10,0/0,-
Jeff Henrick,Georgia Swarm,D,13,2,3,5,15,0,0,0,46,9,8,5,8,0/0,-
Jeremi Phoenix-Lefebvre,Georgia Swarm,F,1,0,0,0,0,0,0,0,3,0,0,0,0,3/9,33%
Jordan MacIntosh,Georgia Swarm,T,13,9,14,23,8,0,1,0,85,26,19,11,40,8/28,29%
Kaleb Benedict,Georgia Swarm,F,13,11,17,28,2,6,2,0,64,21,1,1,66,0/0,-
Kason Tarbell,Georgia Swarm,T,12,1,5,6,6,0,1,0,23,5,7,9,4,0/1,-
Kean Moon,Georgia Swarm,F,7,3,8,11,0,0,1,0,18,9,0,0,32,0/0,-
Liam McGrath,Georgia Swarm,T,12,0,2,2,2,0,0,0,31,5,8,0,3,0/0,-
Lyle Thompson,Georgia Swarm,F,13,20,30,50,4,7,8,1,65,45,4,1,111,0/0,-
Michael Grace,Georgia Swarm,D,13,5,5,10,2,0,1,0,74,4,21,4,10,0/0,-
Mike Manley,Georgia Swarm,D,13,1,0,1,12,0,0,0,44,6,8,7,3,7/27,26%
Nolan Byrne,Georgia Swarm,F,13,21,17,38,4,0,2,2,68,53,2,1,84,0/0,-
Richie Connell,Georgia Swarm,F,5,4,1,5,0,0,0,0,11,8,0,0,23,0/0,-
Seth Van Schepen,Georgia Swarm,T,12,1,5,6,2,0,0,0,48,5,6,11,6,0/0,-
Shayne Jackson,Georgia Swarm,F,13,23,29,52,2,3,7,1,55,31,0,1,122,0/0,-
Toron Eccleston,Georgia Swarm,F,6,6,5,11,2,1,0,0,14,9,1,0,19,0/0,-
Zach Miller,Georgia Swarm,F,1,0,1,1,0,0,0,0,1,0,0,0,1,0/0,-
