Name,Team,P,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG,FO,FO%
Andrew Borgatti,Ottawa Black Bears,D,15,0,1,1,12,0,0,0,28,1,3,3,0,0/0,-
Brent Noseworthy,Ottawa Black Bears,D,15,2,8,10,14,0,0,0,104,7,14,10,4,1/5,20%
Callum Jones,Ottawa Black Bears,D,15,3,6,9,14,0,0,0,147,22,30,10,11,0/0,-
Cole Begley,Ottawa Black Bears,D,1,0,0,0,0,0,0,0,2,0,0,0,0,0/1,-
Connor Kearnan,Ottawa Black Bears,F,15,20,25,45,20,2,11,1,51,37,2,0,100,0/0,-
Jake Saunders,Ottawa Black Bears,D,11,0,3,3,4,0,0,0,25,0,7,1,2,0/0,-
Jake Stevens,Ottawa Black Bears,T,15,4,5,9,8,0,1,0,64,9,19,3,12,0/0,-
Jay Thorimbert,Ottawa Black Bears,T,5,0,0,0,0,0,0,0,18,2,1,1,2,61/127,48%
Jeff Teat,Ottawa Black Bears,F,15,39,64,103,0,9,17,0,103,63,6,3,217,0/0,-
Kevin Brownell,Ottawa Black Bears,T,15,5,6,11,11,0,0,1,70,7,9,10,10,0/0,-
Larson Sundown,Ottawa Black Bears,F,15,18,17,35,4,8,2,1,27,20,0,0,49,0/0,-
Liam Aston,Ottawa Black Bears,F,2,1,2,3,0,0,0,0,0,2,0,0,6,0/0,-
Luc Magnan,Ottawa Black Bears,D,15,0,2,2,13,0,0,0,47,3,7,5,1,0/0,-
Matt Marinier,Ottawa Black Bears,D,11,2,2,4,27,0,0,0,46,4,7,5,3,0/0,-
Nicholas Volkov,Ottawa Black Bears,D,15,2,3,5,4,0,0,0,40,7,4,1,4,0/0,-
Phil Caputo,Ottawa Black Bears,F,12,9,10,19,4,1,3,0,30,18,1,0,49,0/0,-
Reed Kurtz,Ottawa Black Bears,D,15,2,1,3,0,0,0,1,79,12,6,7,4,83/260,32%
Reilly O'Connor,Ottawa Black Bears,F,15,22,45,67,4,8,10,1,49,31,0,0,106,0/0,-
Rob Hellyer,Ottawa Black Bears,F,15,27,58,85,4,4,12,2,82,57,3,0,154,0/0,-
Sam Firth,Ottawa Black Bears,F,15,11,9,20,6,0,0,0,22,18,1,0,58,0/0,-
Tyler Carlson,Ottawa Black Bears,G,15,0,0,0,0,0,0,0,0,0,0,0,0,0/0,-
Zach Higgins,Ottawa Black Bears,G,15,0,0,0,0,0,0,0,5,3,1,0,0,0/0,-
