Rank,Team,W,L,PCT,GB,HOME,AWAY,CONF,PPG,OPP PPG,DIFF,STRK,L10
1,Connecticut Sun,26,8,0.765,-,14-3,12-5,15-5,78.9,71.1,7.8,L2,8-2
2,Los Angeles Sparks,25,9,0.735,1,15-2,10-7,15-5,75.7,72.8,2.9,W2,6-4
3,Detroit Shock,23,11,0.676,3,14-3,9-8,14-6,74.3,70.1,4.2,W1,6-4
4,Sacramento Monarchs,21,13,0.618,5,14-3,7-10,10-10,74.6,70.7,3.9,L1,5-5
5,Indiana Fever,21,13,0.618,5,12-5,9-8,12-8,71.6,68.1,3.5,L1,6-4
6,Houston Comets,18,16,0.529,8,12-5,6-11,11-9,73.4,71.8,1.6,W1,5-5
7,Seattle Storm,18,16,0.529,8,9-8,9-8,10-10,77.6,75.4,2.2,L2,6-4
8,Washington Mystics,18,16,0.529,8,13-4,5-12,12-8,80.8,78.1,2.7,L1,6-4
9,Phoenix Mercury,18,16,0.529,8,10-7,8-9,8-12,87.1,84.7,2.4,W7,7-3
10,San Antonio Silver Stars,13,21,0.382,13,6-11,7-10,10-10,74.2,76.6,-2.4,L1,2-8
11,New York Liberty,11,23,0.324,15,7-10,4-13,7-13,69.8,78.2,-8.4,W2,7-3
12,Charlotte Sting,11,23,0.324,15,7-10,4-13,6-14,72.2,75.6,-3.4,W1,4-6
13,Minnesota Lynx,10,24,0.294,16,8-9,2-15,6-14,74.2,80.6,-6.4,L3,1-9
14,Chicago Sky,5,29,0.147,21,3-14,2-15,4-16,68.4,79.0,-10.6,W1,2-8
