Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Amber Jacobs,29,0,11.3,3.2,0.1,0.6,0.7,1.4,0.3,0.0,1.4,1.1,1.0,1.2,3.5,33.3,0.6,2.2,26.2,0.3,0.4,61.5,0.6,1.3,45.9,0.912,0.42,NA,False
Kathrin Ress,28,0,12.4,3.0,1.4,1.1,2.5,0.6,0.3,0.1,1.3,2.5,0.4,1.1,2.8,39.7,0.1,0.1,50.0,0.8,1.0,72.4,1.0,2.6,39.2,1.090,0.41,NA,False
Kiesha Brown,3,0,9.7,3.7,0.7,1.0,1.7,0.7,0.3,0.3,0.7,1.7,1.0,0.7,3.0,22.2,0.3,1.0,33.3,2.0,2.7,75.0,0.3,2.0,16.7,1.222,0.28,NA,False
Kristen Mann,34,0,25.6,7.6,1.1,2.4,3.6,1.3,0.9,0.2,0.8,2.4,1.6,2.8,7.5,37.5,1.1,3.1,34.9,0.9,1.1,78.4,1.7,4.4,39.3,1.008,0.45,F,False
Lindsey Harding,20,0,30.1,11.7,0.8,3.6,4.4,3.9,1.0,0.3,2.4,2.2,1.7,4.3,12.2,35.4,0.4,1.8,22.9,2.7,3.9,67.9,3.9,10.4,37.5,0.959,0.37,G,False
Megan Duffy,5,0,9.6,1.4,0.4,0.6,1.0,1.4,0.2,0.0,0.8,1.4,1.8,0.2,1.8,11.1,0.2,1.6,12.5,0.8,0.8,100.0,0.0,0.2,0.0,0.778,0.17,NA,False
Navonda Moore,19,0,4.6,1.1,0.2,0.6,0.8,0.2,0.2,0.0,0.4,1.1,0.6,0.4,1.4,26.9,0.1,0.4,12.5,0.3,0.4,75.0,0.3,0.9,33.3,0.808,0.29,NA,False
Nicole Ohlde,34,0,26.8,11.5,2.0,4.1,6.1,1.6,0.5,0.6,2.4,3.7,0.7,3.8,10.1,37.4,0.0,0.0,0.0,4.0,4.7,84.5,3.8,10.1,37.4,1.146,0.37,NA,False
Noelle Quinn,34,0,19.4,2.8,0.5,2.1,2.6,4.4,0.9,0.4,2.0,1.2,2.2,1.1,3.6,29.8,0.2,1.1,18.4,0.4,0.7,62.5,0.9,2.5,34.9,0.774,0.33,G,False
Seimone Augustus,34,0,31.9,22.6,1.1,2.9,4.0,2.3,1.2,0.6,2.4,1.7,1.0,8.7,17.1,50.8,0.8,1.8,41.9,4.4,5.1,87.3,7.9,15.3,51.8,1.319,0.53,G,False
Shay Murphy,32,0,13.6,5.2,1.6,1.7,3.3,0.5,0.6,0.3,0.6,1.5,0.9,1.7,4.5,37.2,0.6,2.1,27.3,1.2,1.4,84.8,1.1,2.5,45.6,1.138,0.43,F,False
Svetlana Abrosimova,34,0,24.5,10.1,1.6,2.9,4.4,2.5,1.3,0.1,2.0,2.5,1.3,3.9,8.8,44.3,1.3,3.0,44.6,1.1,1.3,83.7,2.6,5.8,44.2,1.158,0.52,F,False
Tamika Raymond,21,0,7.1,1.5,0.8,1.1,1.9,0.3,0.1,0.0,0.4,0.9,0.7,0.6,1.0,60.0,0.0,0.0,0.0,0.3,0.5,63.6,0.6,1.0,60.0,1.550,0.60,NA,False
Tiffany Stansbury,30,0,14.6,4.3,1.7,2.7,4.3,0.5,0.4,0.4,1.0,2.6,0.5,1.8,4.0,45.8,0.0,0.0,0.0,0.7,1.3,51.3,1.8,4.0,45.8,1.083,0.46,NA,False
Total,34,,,77.5,11.7,23.1,34.8,17.5,7.0,2.8,15.4,21.0,1.1,28.6,69.3,41.2,4.8,14.6,32.9,15.6,19.8,78.8,23.8,54.7,43.5,1.119,0.45,,False
