Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Alison Bales,14,0,9.0,2.6,0.5,1.1,1.6,0.1,0.4,1.0,0.2,1.3,0.7,1.0,2.6,38.9,0.1,0.4,40.0,0.5,0.6,77.8,0.9,2.2,38.7,1.028,0.42,NA,False
Allison Feaster,33,0,9.1,2.6,0.3,0.4,0.7,0.8,0.2,0.1,0.4,0.7,1.9,0.9,2.7,33.7,0.7,2.3,30.7,0.1,0.1,100.0,0.2,0.4,50.0,0.955,0.47,NA,False
Bernadette Ngoyisa,31,0,7.3,2.7,0.6,1.1,1.7,0.2,0.2,0.2,1.0,1.5,0.2,1.0,2.0,47.6,0.0,0.0,0.0,0.7,1.0,71.9,1.0,2.0,47.6,1.317,0.48,NA,False
Doneeka Lewis,8,0,7.0,2.0,0.3,0.5,0.8,0.3,0.4,0.1,0.8,0.3,0.3,0.9,2.5,35.0,0.3,0.9,28.6,0.0,0.0,0.0,0.6,1.6,38.5,0.800,0.40,G,False
Ebony Hoffman,33,0,30.7,10.4,2.8,5.0,7.8,1.8,1.4,0.8,2.4,3.7,0.8,4.3,9.2,46.5,0.8,1.7,45.6,1.0,1.2,82.9,3.5,7.5,46.7,1.129,0.51,F,False
Kasha Terry,2,0,12.0,1.0,0.5,2.0,2.5,1.0,0.0,0.0,3.0,1.5,0.3,0.5,2.5,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.5,20.0,0.400,0.20,NA,False
Katie Douglas,33,0,34.4,15.6,1.2,2.8,4.1,3.2,1.6,0.4,3.0,1.6,1.1,5.2,13.8,37.2,1.7,5.3,32.4,3.6,4.5,79.9,3.4,8.5,40.2,1.129,0.43,G,False
Khadijah Whittington,22,0,8.5,2.0,0.5,1.1,1.5,0.3,0.4,0.5,0.5,1.9,0.5,0.8,2.0,38.6,0.0,0.0,0.0,0.4,0.8,52.9,0.8,2.0,38.6,0.977,0.39,NA,False
Kristen Mann,5,0,6.2,0.4,0.2,0.6,0.8,0.2,0.2,0.2,0.2,0.0,1.0,0.2,0.8,25.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.6,33.3,0.500,0.25,F,False
LaToya Bond,32,0,10.2,2.3,0.2,0.8,1.0,0.8,0.5,0.1,1.0,1.8,0.8,0.8,2.8,28.9,0.3,1.3,21.4,0.4,0.5,81.3,0.5,1.5,35.4,0.822,0.34,NA,False
Sherill Baker,13,0,8.5,3.8,0.5,1.2,1.7,1.2,0.7,0.1,0.8,1.2,1.4,0.9,2.8,32.4,0.0,0.1,0.0,1.9,2.6,73.5,0.9,2.8,33.3,1.324,0.32,NA,False
Tamika Catchings,25,0,27.8,13.3,1.9,4.4,6.3,3.3,2.0,0.4,2.4,3.0,1.4,4.0,10.3,39.1,1.5,3.5,43.2,3.7,4.6,80.0,2.5,6.8,37.1,1.287,0.47,F,False
Tammy Sutton-Brown,33,0,29.0,11.8,1.9,4.4,6.3,0.5,0.6,1.7,2.1,3.4,0.2,4.3,8.8,49.5,0.0,0.0,0.0,3.1,4.6,67.3,4.3,8.7,49.7,1.346,0.49,C,False
Tan White,33,0,27.1,9.9,0.8,2.2,3.1,2.4,1.3,0.4,2.6,2.7,0.9,3.6,9.8,36.6,1.2,3.6,32.5,1.5,1.8,85.0,2.4,6.2,39.0,1.009,0.43,G,False
Total,34,,,72.7,10.3,22.9,33.1,14.7,9.5,4.9,16.1,21.4,0.9,25.8,64.1,40.2,6.6,19.5,34.1,14.6,19.3,75.5,19.1,44.6,42.9,1.135,0.45,,False
Tully Bevilaqua,30,0,29.2,5.8,0.4,1.9,2.3,2.2,2.0,0.1,1.2,2.4,1.9,2.1,5.3,40.5,1.0,3.0,33.7,0.6,0.9,60.7,1.1,2.3,49.3,1.108,0.50,G,False
