Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Alana Beard,31,0,31.8,15.9,0.6,3.4,4.0,2.2,2.3,0.6,3.2,3.1,0.7,6.1,14.1,42.9,1.0,3.5,29.9,2.7,3.7,73.7,5.0,10.7,47.1,1.123,0.47,G,False
Bernice Mosby,24,0,7.0,1.9,0.6,0.9,1.5,0.1,0.3,0.0,0.7,1.2,0.2,0.7,2.0,36.2,0.0,0.0,0.0,0.5,0.6,85.7,0.7,1.9,37.0,0.979,0.36,F,False
Chasity Melvin,34,0,22.3,5.9,2.3,2.3,4.6,1.1,1.0,0.9,1.5,3.0,0.7,2.5,5.5,44.7,0.0,0.0,0.0,1.0,1.8,54.1,2.5,5.5,44.9,1.069,0.45,NA,False
Crystal Langhorne,34,0,29.8,12.0,3.0,4.9,7.9,0.9,1.0,0.4,2.2,2.2,0.4,4.8,8.4,57.4,0.0,0.1,0.0,2.4,3.5,68.9,4.8,8.3,57.8,1.437,0.57,F,False
Kristen Mann,16,0,5.9,1.6,0.1,0.8,0.9,0.4,0.2,0.0,0.2,0.6,2.0,0.6,1.8,35.7,0.3,1.1,22.2,0.1,0.1,100.0,0.4,0.6,60.0,0.893,0.43,F,False
Lindsey Harding,34,0,35.1,12.8,0.7,3.3,4.0,4.5,1.3,0.4,3.0,2.0,1.5,4.8,11.0,43.5,0.6,1.8,32.3,2.6,3.5,74.8,4.2,9.2,45.7,1.160,0.46,G,False
Marissa Coleman,28,0,18.8,6.1,0.8,1.9,2.7,0.8,0.7,0.3,1.2,1.6,0.6,1.9,5.7,34.0,1.0,2.9,36.3,1.2,1.6,75.6,0.9,2.8,31.6,1.075,0.43,G,False
Matee Ajavon,34,0,17.3,8.0,0.8,1.1,1.9,1.1,1.1,0.1,1.5,2.5,0.7,2.5,7.4,33.6,0.8,2.4,34.1,2.2,3.2,67.3,1.7,5.0,33.3,1.075,0.39,G,False
Monique Currie,34,0,21.4,8.2,1.1,3.2,4.3,1.8,0.9,0.4,1.7,2.4,1.1,2.3,6.4,35.9,0.6,1.5,38.5,3.0,3.7,80.3,1.7,4.9,35.2,1.281,0.41,F,False
Nakia Sanford,34,0,19.5,6.3,1.6,2.7,4.3,0.6,0.8,0.4,2.1,3.2,0.3,2.3,4.8,47.0,0.0,0.0,0.0,1.7,3.0,57.8,2.3,4.8,47.0,1.299,0.47,F,False
Nikki Blue,16,0,5.7,1.5,0.1,0.5,0.6,0.8,0.4,0.0,0.8,0.8,0.9,0.4,1.5,29.2,0.2,0.6,33.3,0.4,0.6,70.0,0.3,0.9,26.7,1.000,0.35,NA,False
Tasha Humphrey,9,0,7.4,2.2,0.4,1.0,1.4,0.3,0.1,0.3,0.7,1.7,0.5,0.8,3.1,25.0,0.3,1.3,25.0,0.3,0.6,60.0,0.4,1.8,25.0,0.714,0.30,NA,False
Total,34,,,76.0,11.4,23.6,35.0,13.3,9.2,3.5,17.0,21.3,0.8,27.4,64.9,42.3,4.1,12.5,32.6,17.1,24.3,70.1,23.4,52.3,44.6,1.172,0.45,,False
