Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Andrea Riley,29,0,7.7,3.4,0.2,0.6,0.8,1.0,0.5,0.0,0.8,0.8,1.2,0.9,3.1,30.3,0.5,1.8,29.4,1.1,1.3,83.8,0.4,1.3,31.6,1.124,0.39,G,False
Betty Lennox,11,0,11.6,4.9,0.4,1.4,1.7,1.5,0.2,0.0,0.6,2.2,2.4,1.6,4.2,39.1,1.2,3.3,36.1,0.5,0.5,83.3,0.5,0.9,50.0,1.174,0.53,G,False
Candace Parker,10,0,33.5,20.6,1.9,8.2,10.1,2.2,1.0,2.2,3.2,1.8,0.7,8.1,16.2,50.0,0.3,1.2,25.0,4.1,5.6,73.2,7.8,15.0,52.0,1.272,0.51,F,False
Chanel Mokango,21,0,3.4,0.4,0.2,0.4,0.6,0.0,0.1,0.5,0.2,0.5,0.2,0.1,0.8,17.6,0.0,0.1,0.0,0.1,0.2,75.0,0.1,0.7,20.0,0.529,0.18,NA,False
DeLisha Milton-Jones,34,0,32.2,15.4,1.0,3.7,4.7,2.5,1.1,0.6,2.8,3.1,0.9,5.7,12.1,47.0,0.8,2.4,31.7,3.2,3.7,86.6,4.9,9.7,50.8,1.270,0.50,F,False
Kristi Toliver,34,0,20.7,8.6,0.7,1.5,2.2,1.3,0.5,0.1,1.5,1.9,0.9,3.1,7.1,43.8,1.1,3.1,34.9,1.3,1.6,81.5,2.0,3.9,50.7,1.213,0.51,G,False
Lindsay Wisdom-Hylton,32,0,15.1,4.5,1.4,2.0,3.4,0.4,0.6,0.8,0.7,1.6,0.6,1.9,3.8,50.0,0.0,0.1,0.0,0.8,1.1,70.6,1.9,3.7,50.8,1.200,0.50,F,False
Marie Ferdinand-Harris,30,0,24.3,8.9,0.6,2.0,2.7,1.2,0.9,0.2,1.1,2.1,1.1,3.4,8.2,40.9,0.5,1.6,29.2,1.7,2.1,83.9,2.9,6.6,43.7,1.085,0.44,G,False
Noelle Quinn,34,0,32.5,10.2,0.8,3.2,4.0,2.8,1.0,0.3,1.4,1.6,2.0,4.0,9.1,44.3,1.0,2.6,40.2,1.1,1.4,77.6,3.0,6.5,45.9,1.123,0.50,G,False
Ticha Penicheiro,32,0,26.3,4.9,0.5,3.4,4.0,6.9,1.3,0.1,2.3,1.8,3.1,1.5,3.7,41.0,0.0,0.3,11.1,1.8,2.3,81.9,1.5,3.4,43.5,1.333,0.41,G,False
Tiffany Stansbury,5,0,2.8,0.6,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.2,0.0,0.2,0.6,33.3,0.0,0.0,0.0,0.2,0.4,50.0,0.2,0.6,33.3,1.000,0.33,NA,False
Tina Thompson,33,0,33.2,16.6,1.9,4.3,6.2,1.8,1.2,0.7,2.3,3.0,0.8,6.0,13.5,44.6,1.7,4.9,35.2,2.9,3.3,87.2,4.3,8.5,50.0,1.234,0.51,F,False
Total,34,,,77.9,7.6,23.2,30.8,18.4,7.2,3.6,13.7,16.8,1.3,28.6,64.9,44.1,5.9,17.6,33.7,14.8,18.0,82.2,22.7,47.3,47.9,1.201,0.49,,False
