Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Anete Jekabsone-Zogota,32,0,10.7,2.7,0.1,0.5,0.5,0.9,0.2,0.0,0.8,1.0,1.3,1.0,3.0,32.0,0.5,1.5,30.6,0.3,0.3,100.0,0.5,1.5,33.3,0.897,0.40,G,False
Brittney Griner,34,34,30.7,15.6,1.8,6.1,8.0,1.6,0.6,3.8,1.9,3.2,0.9,6.4,11.1,57.8,0.0,0.0,0.0,2.7,3.4,80.2,6.4,11.1,57.8,1.401,0.58,C,False
Candice Dupree,34,34,31.2,14.5,1.2,6.4,7.6,2.4,0.9,0.5,1.4,1.4,1.7,6.2,11.6,53.3,0.0,0.0,0.0,2.1,2.5,84.9,6.2,11.6,53.3,1.251,0.53,F,False
DeWanna Bonner,34,34,29.2,10.4,1.0,3.1,4.1,2.3,1.4,0.4,1.4,1.3,1.7,3.8,8.3,45.9,0.7,2.5,27.9,2.1,2.7,78.0,3.1,5.7,53.8,1.256,0.50,F,False
Diana Taurasi,33,33,30.9,16.2,0.3,3.5,3.8,5.6,0.7,0.3,2.6,3.0,2.1,5.2,11.4,45.4,1.9,5.2,36.5,4.0,4.6,87.4,3.3,6.3,52.7,1.422,0.54,G,False
Erin Phillips,33,10,18.7,5.8,0.3,1.3,1.6,2.2,0.7,0.0,1.2,1.3,1.8,1.9,4.5,43.5,1.1,2.4,44.9,0.8,1.0,84.4,0.9,2.1,42.0,1.293,0.55,G,False
Ewelina Kobryn,20,0,6.9,1.6,0.3,0.8,1.1,0.2,0.3,0.1,0.3,1.2,0.5,0.5,1.8,28.6,0.0,0.2,0.0,0.6,0.9,61.1,0.5,1.6,32.3,0.886,0.29,C,False
Mistie McCray Bass,34,0,14.5,4.4,1.2,2.0,3.2,0.5,0.5,0.4,0.7,1.5,0.8,1.7,3.4,50.9,0.0,0.0,0.0,0.9,1.4,66.7,1.7,3.4,50.9,1.298,0.51,F,False
Penny Taylor,33,24,23.4,10.5,0.4,2.7,3.1,3.1,1.2,0.5,1.7,1.6,1.8,3.5,7.2,47.9,0.9,2.5,35.7,2.7,3.2,84.8,2.5,4.7,54.5,1.458,0.54,F,False
Shay Murphy,27,1,12.1,3.9,0.6,1.1,1.7,1.1,0.7,0.1,0.3,1.1,3.8,1.4,3.4,42.4,0.4,1.1,32.3,0.7,0.9,75.0,1.1,2.3,47.5,1.152,0.48,F,False
Tiffany Bias,17,0,4.0,1.1,0.0,0.2,0.2,0.4,0.3,0.0,0.7,0.7,0.5,0.4,1.1,38.9,0.1,0.4,33.3,0.1,0.4,33.3,0.3,0.7,41.7,1.000,0.44,G,False
Total,34,,,83.5,7.0,26.7,33.7,19.4,6.9,6.0,12.3,16.0,1.6,30.9,63.9,48.4,5.2,14.9,35.0,16.4,20.2,81.2,25.7,48.9,52.5,1.308,0.53,,False
