Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Aneika Henry-Morello,29,11,17.9,5.2,1.4,3.2,4.7,0.4,0.3,0.9,1.6,2.5,0.2,2.2,4.5,48.5,0.0,0.0,0.0,0.8,1.1,75.0,2.2,4.5,48.5,1.154,0.48,F,False
Angel McCoughtry,34,26,30.0,20.1,1.9,3.4,5.3,2.8,2.1,0.5,3.1,3.4,0.9,6.9,16.7,41.3,1.1,3.0,36.3,5.2,6.5,80.5,5.8,13.7,42.4,1.204,0.45,F,False
Carla Cortijo,2,0,16.0,7.0,0.0,0.5,0.5,1.0,1.0,0.0,0.5,1.5,2.0,2.5,4.5,55.6,0.5,1.0,50.0,1.5,2.0,75.0,2.0,3.5,57.1,1.556,0.61,G,False
Cierra Burdick,11,4,18.9,4.4,0.9,2.3,3.2,1.2,0.9,0.5,0.8,1.9,1.4,1.5,3.6,42.5,0.0,0.1,0.0,1.3,1.5,87.5,1.5,3.5,43.6,1.200,0.43,F,False
Damiris Dantas,16,16,24.8,8.3,2.0,3.4,5.4,0.7,0.9,0.6,1.1,2.1,0.6,2.9,7.5,38.3,0.3,0.8,33.3,2.3,2.3,97.3,2.6,6.8,38.9,1.100,0.40,F,False
DeLisha Milton-Jones,18,1,8.9,2.1,0.6,1.3,1.8,0.4,0.4,0.1,0.7,1.7,0.6,0.9,2.6,34.0,0.1,0.6,10.0,0.3,0.5,55.6,0.8,2.1,40.5,0.809,0.35,F,False
Erica Wheeler,17,0,11.9,4.5,0.2,0.7,0.9,1.5,0.5,0.0,1.2,1.5,1.2,1.9,4.1,45.7,0.4,0.9,40.0,0.4,0.7,50.0,1.5,3.2,47.3,1.086,0.50,G,False
Erika de Souza,17,17,28.9,8.6,2.7,4.8,7.5,1.2,0.9,0.8,1.8,3.1,0.7,3.9,8.6,45.9,0.0,0.0,0.0,0.8,1.4,54.2,3.9,8.6,45.9,1.007,0.46,F,False
Matee Ajavon,33,11,17.6,5.9,0.6,1.8,2.5,2.4,1.4,0.2,1.8,2.4,1.3,2.0,4.9,40.5,0.1,0.5,16.7,1.8,2.2,82.2,1.9,4.4,43.4,1.196,0.41,G,False
Nadia Colhado,6,0,5.3,1.0,0.2,0.2,0.3,0.2,0.2,0.7,0.3,1.0,0.5,0.5,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,50.0,1.000,0.50,C,False
Reshanda Gray,17,1,14.8,5.9,1.1,1.7,2.8,0.2,0.4,0.4,0.9,3.0,0.3,2.0,4.1,49.3,0.0,0.0,0.0,1.9,2.6,73.3,2.0,4.1,49.3,1.464,0.49,F,False
Roneeka Hodges,23,9,19.5,6.4,0.4,1.5,2.0,1.3,0.2,0.2,1.0,1.3,1.4,2.2,5.7,38.2,1.2,3.3,36.0,0.9,1.2,75.0,1.0,2.4,41.1,1.130,0.48,F,False
Samantha Logic,4,0,5.8,0.8,0.5,0.3,0.8,0.5,0.3,0.0,0.3,1.3,2.0,0.3,2.8,9.1,0.3,2.0,12.5,0.0,0.0,0.0,0.0,0.8,0.0,0.273,0.14,G,False
Sancho Lyttle,24,24,30.0,10.3,2.8,5.5,8.3,2.2,2.3,0.6,1.6,2.9,1.4,4.3,9.1,47.5,0.0,0.2,20.0,1.6,2.2,73.6,4.3,8.9,48.1,1.132,0.48,F,False
Shoni Schimmel,32,16,19.8,7.6,0.4,2.1,2.5,3.2,0.8,0.2,2.4,1.1,1.3,2.7,7.0,37.8,1.5,4.0,38.3,0.8,0.9,85.7,1.1,3.0,37.1,1.080,0.49,G,False
Sydney Carter,26,7,11.3,2.0,0.2,0.7,0.9,1.2,0.3,0.1,0.6,0.6,2.0,0.6,2.8,20.8,0.2,1.2,16.7,0.6,0.8,80.0,0.4,1.6,23.8,0.708,0.24,G,False
Tiffany Hayes,28,27,29.9,12.9,1.0,2.0,3.0,2.2,1.0,0.4,1.7,3.5,1.3,4.1,10.5,39.2,1.1,4.0,27.4,3.5,4.4,80.5,3.0,6.4,46.7,1.229,0.45,G,False
Total,34,,,77.8,11.0,23.6,34.6,16.1,9.2,3.7,15.3,21.9,1.1,28.1,68.2,41.1,4.9,15.3,32.0,16.8,21.3,78.8,23.2,53.0,43.8,1.140,0.45,,False
