Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Aerial Powers,12,1,20.3,10.8,1.4,2.8,4.2,1.5,0.4,0.5,1.5,1.7,1.0,3.3,9.8,33.9,1.1,3.5,31.0,3.0,3.7,81.8,2.3,6.3,35.5,1.093,0.39,G,False
Allisha Gray,34,34,27.2,13.0,1.6,2.3,3.9,1.3,1.5,0.6,1.2,2.1,1.1,4.4,11.6,38.1,1.0,3.4,29.9,3.1,3.9,80.3,3.4,8.1,41.5,1.119,0.43,G,False
Breanna Lewis,14,0,3.8,0.5,0.1,0.5,0.6,0.1,0.0,0.0,0.5,1.1,0.3,0.1,0.9,16.7,0.0,0.0,0.0,0.2,0.3,75.0,0.1,0.9,16.7,0.583,0.17,C,False
Courtney Paris,20,8,13.7,4.2,1.7,2.1,3.7,0.7,0.4,0.6,1.0,2.7,0.7,1.9,3.4,55.9,0.0,0.0,0.0,0.4,0.8,50.0,1.9,3.4,55.9,1.235,0.56,C,False
Evelyn Akhator,15,0,4.1,0.9,0.5,0.1,0.6,0.0,0.1,0.2,0.3,0.4,0.0,0.3,1.1,25.0,0.0,0.0,0.0,0.3,0.4,83.3,0.3,1.1,25.0,0.813,0.25,F,False
Glory Johnson,33,33,31.0,14.9,2.4,6.7,9.1,1.6,1.2,0.4,2.2,2.9,0.7,5.7,12.2,46.4,0.6,2.0,31.3,3.0,3.9,76.6,5.0,10.2,49.4,1.223,0.49,F,False
Kaela Davis,33,0,15.5,6.1,0.3,1.1,1.4,1.0,0.5,0.1,1.5,1.7,0.7,2.1,5.3,38.9,0.5,1.1,42.9,1.5,2.0,75.4,1.6,4.2,37.9,1.143,0.43,F,False
Karima Christmas-Kelly,34,34,29.7,10.4,1.7,2.5,4.2,2.2,1.3,0.2,1.6,2.9,1.3,2.9,7.7,38.0,0.8,2.6,29.2,3.7,4.4,85.1,2.2,5.1,42.5,1.338,0.43,F,False
Kayla Thornton,34,1,17.2,6.8,1.2,2.1,3.3,0.9,0.6,0.2,0.7,2.2,1.2,2.1,5.2,41.2,0.5,1.8,27.9,2.0,2.5,80.0,1.6,3.4,48.3,1.305,0.46,F,False
Saniya Chong,33,0,11.0,2.7,0.3,0.6,0.9,1.0,0.7,0.1,0.8,0.6,1.4,0.8,2.4,35.9,0.3,1.2,23.7,0.8,0.9,86.2,0.6,1.2,47.5,1.154,0.42,G,False
Skylar Diggins,34,34,34.2,18.5,0.7,2.8,3.5,5.8,1.3,0.8,2.8,2.4,2.1,5.6,13.4,42.2,1.4,4.1,35.0,5.7,6.4,89.5,4.2,9.3,45.4,1.380,0.48,G,False
Theresa Plaisance,34,25,20.3,7.7,1.3,3.1,4.3,0.9,0.7,0.7,0.9,2.8,1.1,2.9,7.5,38.0,1.2,3.6,34.4,0.7,0.9,86.2,1.6,3.9,41.4,1.024,0.46,F,False
Total,34,,,86.1,11.1,23.4,34.5,15.6,8.2,3.7,13.0,20.2,1.2,28.8,71.0,40.6,6.7,20.9,31.9,21.9,26.6,82.3,22.1,50.1,44.2,1.213,0.45,,False
