Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Amanda Zahui B.,29,0,15.9,7.7,1.3,1.7,3.0,0.7,0.4,0.4,1.5,2.8,0.5,3.1,6.2,50.0,0.7,2.1,34.4,0.8,1.3,60.5,2.4,4.1,58.0,1.244,0.56,C,False
Bria Hartley,34,20,23.7,8.5,0.7,2.2,2.9,3.6,0.9,0.1,2.0,2.2,1.8,3.0,7.8,38.9,1.1,3.4,30.8,1.4,1.9,70.8,2.0,4.4,45.3,1.087,0.46,G,False
Brittany Boyd-Jones,30,14,20.4,6.4,0.3,3.6,3.9,5.3,1.2,0.1,2.7,2.4,2.0,2.3,5.6,41.4,0.3,0.9,37.0,1.4,1.8,77.4,2.0,4.7,42.3,1.130,0.44,G,False
Epiphanny Prince,16,12,19.1,8.4,0.4,1.1,1.6,1.7,0.9,0.0,1.1,1.9,1.6,3.0,7.6,39.3,1.1,2.7,41.9,1.3,1.5,87.5,1.9,4.9,38.0,1.107,0.47,G,False
Kia Nurse,34,7,22.8,9.1,0.7,1.7,2.4,1.6,0.7,0.1,0.9,2.1,1.8,3.0,7.5,40.2,1.1,3.7,29.4,2.0,2.3,87.0,1.9,3.8,50.8,1.211,0.47,G,False
Kia Vaughn,29,27,18.3,5.7,1.2,2.8,4.0,0.7,0.7,0.2,1.0,1.7,0.7,2.5,4.7,53.3,0.0,0.0,0.0,0.6,1.0,64.3,2.5,4.7,53.3,1.197,0.53,C,False
Kiah Stokes,30,4,14.2,3.1,1.4,3.0,4.5,0.4,0.4,0.6,0.7,1.9,0.6,1.4,2.6,54.5,0.0,0.0,0.0,0.3,0.5,53.3,1.4,2.6,54.5,1.195,0.55,C,False
Marissa Coleman,21,18,18.3,4.7,0.6,1.8,2.4,1.0,0.5,0.2,0.6,1.0,1.7,1.9,5.5,34.8,0.6,2.0,27.9,0.3,0.3,100.0,1.3,3.4,38.9,0.852,0.40,G,False
Mercedes Russell,2,0,16.0,2.5,0.0,1.5,1.5,1.0,1.0,0.5,0.5,1.0,2.0,0.5,1.5,33.3,0.0,0.0,0.0,1.5,2.0,75.0,0.5,1.5,33.3,1.667,0.33,C,False
Rebecca Allen,28,0,10.4,3.8,0.5,1.3,1.7,0.3,0.3,0.4,0.6,1.3,0.5,1.4,3.6,37.6,0.4,1.4,26.3,0.8,0.9,84.0,1.0,2.3,44.4,1.059,0.43,G,False
Shavonte Zellous,22,22,24.1,8.2,0.3,2.9,3.1,3.0,0.6,0.2,1.2,2.6,2.4,2.9,6.8,42.3,0.4,1.4,26.7,2.1,2.8,75.4,2.5,5.4,46.2,1.208,0.45,G,False
Sugar Rodgers,31,13,19.6,6.3,0.6,2.6,3.2,2.0,0.7,0.1,1.2,2.1,1.7,2.2,6.0,36.2,1.4,4.3,32.3,0.6,0.7,82.6,0.8,1.7,46.2,1.059,0.48,G,False
Tina Charles,33,33,33.0,19.7,1.9,5.1,7.0,2.7,0.7,0.6,2.8,2.5,1.0,8.0,16.8,47.3,0.9,2.9,32.6,2.8,3.7,77.0,7.0,14.0,50.3,1.171,0.50,C,False
Total,34,,,77.7,8.6,25.5,34.1,19.5,6.6,2.7,14.0,20.7,1.4,29.4,68.1,43.2,6.6,21.0,31.7,12.1,15.9,76.3,22.8,47.1,48.4,1.141,0.48,,False
