Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Alyssa Thomas,21,21,32.8,15.5,1.9,7.2,9.0,4.8,2.0,0.3,2.5,2.8,1.9,5.8,11.6,50.0,0.0,0.0,0.0,3.9,5.6,68.6,5.8,11.6,50.2,1.332,0.50,F,False
Beatrice Mompremier,21,0,8.9,2.3,1.5,1.8,3.3,0.1,0.2,0.6,0.7,1.3,0.2,1.0,2.2,42.6,0.0,0.0,0.0,0.4,0.9,44.4,1.0,2.2,42.6,1.021,0.43,F,False
Bria Holmes,18,4,16.2,4.9,0.7,1.1,1.8,1.1,0.7,0.3,1.0,0.9,1.1,1.9,5.4,35.7,0.6,1.7,33.3,0.4,0.7,66.7,1.4,3.8,36.8,0.898,0.41,G,False
Briann January,13,10,23.3,5.0,0.3,0.9,1.2,3.4,0.6,0.2,1.2,1.9,2.9,1.7,5.8,29.3,0.8,2.3,36.7,0.8,0.9,83.3,0.8,3.5,24.4,0.867,0.37,G,False
Brionna Jones,21,21,26.1,11.2,2.8,2.8,5.6,1.0,1.7,0.7,1.6,3.1,0.6,4.7,7.7,60.5,0.0,0.0,100.0,1.8,2.6,69.1,4.6,7.7,60.2,1.451,0.61,F,False
DeWanna Bonner,22,22,33.3,19.7,1.5,6.3,7.8,3.0,1.7,0.5,2.4,2.1,1.3,6.7,16.0,42.2,1.2,4.9,25.2,5.0,5.6,89.5,5.5,11.1,49.6,1.236,0.46,F,False
Essence Carson,11,1,11.2,3.2,0.1,1.5,1.5,0.6,0.4,0.1,0.5,1.1,1.2,1.2,3.6,32.5,0.5,1.9,28.6,0.3,0.4,75.0,0.6,1.7,36.8,0.875,0.40,F,False
Jacki Gemelos,6,0,4.8,1.8,0.0,0.3,0.3,0.2,0.3,0.0,0.5,0.8,0.3,0.7,1.3,50.0,0.5,1.0,50.0,0.0,0.0,0.0,0.2,0.3,50.0,1.375,0.69,G,False
Jasmine Thomas,19,19,25.5,10.2,0.2,1.5,1.7,4.0,1.3,0.3,2.4,1.6,1.7,4.0,9.9,40.4,1.1,3.3,33.3,1.1,1.2,91.3,2.9,6.6,44.0,1.032,0.46,G,False
Kaila Charles,21,7,17.9,5.4,1.1,1.5,2.6,0.9,0.8,0.3,0.9,2.1,1.0,1.9,4.6,41.2,0.5,1.4,36.7,1.0,1.5,71.0,1.4,3.2,43.3,1.165,0.47,G,False
Kaleena Mosqueda-Lewis,16,0,10.3,3.4,0.1,1.3,1.3,0.3,0.2,0.1,0.4,1.1,0.6,1.2,4.0,29.7,0.8,2.9,25.5,0.3,0.4,57.1,0.4,1.1,41.2,0.844,0.39,F,False
Natisha Hiedeman,22,4,18.5,6.1,0.4,1.5,1.9,1.9,0.4,0.0,1.1,2.0,1.7,2.0,5.8,35.4,1.0,2.9,35.9,1.0,1.4,70.0,1.0,2.9,34.9,1.055,0.44,G,False
Theresa Plaisance,13,0,6.9,2.5,0.2,0.8,1.0,0.1,0.4,0.2,0.2,1.5,0.5,0.8,2.2,37.9,0.4,1.3,29.4,0.4,0.5,83.3,0.5,0.9,50.0,1.103,0.47,F,False
Total,22,,,80.4,10.0,25.5,35.5,18.3,9.2,3.1,13.3,18.8,1.4,29.7,69.5,42.7,5.9,19.0,31.2,15.1,20.0,75.5,23.8,50.6,47.0,1.156,0.47,,False
