Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Alysha Clark,22,22,28.8,10.0,0.9,3.4,4.2,2.7,1.5,0.5,0.9,1.7,3.1,3.7,6.7,55.8,1.6,3.0,52.2,0.9,1.1,80.0,2.1,3.6,58.7,1.490,0.68,F,False
Breanna Stewart,20,20,30.4,19.7,1.0,7.3,8.3,3.6,1.7,1.3,2.5,2.3,1.4,6.7,14.8,45.1,1.8,4.8,36.8,4.7,5.2,89.4,4.9,10.0,49.0,1.336,0.51,F,False
Crystal Langhorne,13,0,8.2,1.4,0.2,1.9,2.2,0.5,0.1,0.1,0.8,0.5,0.5,0.5,1.3,41.2,0.1,0.4,20.0,0.2,0.5,50.0,0.5,0.9,50.0,1.059,0.44,F,False
Epiphanny Prince,15,0,12.7,4.3,0.1,1.1,1.2,1.4,0.4,0.1,0.8,1.5,1.8,1.5,3.8,38.6,0.6,1.8,33.3,0.7,0.9,84.6,0.9,2.0,43.3,1.123,0.46,G,False
Ezi Magbegor,22,0,13.3,6.5,1.1,1.3,2.5,0.3,0.5,0.7,0.4,2.0,0.8,2.8,5.0,56.9,0.0,0.1,33.3,0.9,1.2,70.4,2.8,4.8,57.5,1.321,0.57,F,False
Jewell Loyd,22,22,27.9,15.5,0.6,1.7,2.4,3.2,1.5,0.3,1.9,1.5,1.7,5.1,11.5,44.3,1.8,4.5,39.0,3.5,4.0,87.5,3.3,7.0,47.7,1.344,0.52,G,False
Jordin Canada,20,11,24.2,7.9,0.5,1.8,2.3,5.5,1.5,0.0,2.0,1.8,2.7,2.8,6.6,42.4,0.1,0.6,9.1,2.2,2.9,77.2,2.8,6.1,45.5,1.189,0.43,G,False
Mercedes Russell,22,2,13.8,3.5,0.7,2.5,3.2,0.6,0.4,0.4,0.7,1.0,0.8,1.5,3.5,41.0,0.0,0.0,0.0,0.6,1.1,56.0,1.5,3.5,41.0,1.000,0.41,C,False
Morgan Tuck,10,0,8.8,1.7,0.2,0.4,0.6,0.2,0.5,0.0,0.6,1.2,0.3,0.5,1.6,31.3,0.2,0.9,22.2,0.5,0.8,62.5,0.3,0.7,42.9,1.063,0.38,F,False
Natasha Howard,22,22,21.0,9.5,2.4,4.7,7.1,1.0,1.7,0.6,2.1,3.0,0.5,4.0,7.5,53.0,0.3,0.9,35.0,1.3,1.6,77.8,3.6,6.5,55.6,1.274,0.55,F,False
Sami Whitcomb,22,0,16.5,8.1,0.2,2.1,2.3,2.0,0.7,0.1,1.0,1.4,2.0,2.8,6.4,44.3,1.5,3.8,38.1,1.0,1.0,100.0,1.4,2.5,53.6,1.271,0.56,G,False
Sue Bird,11,11,23.4,9.8,0.1,1.6,1.7,5.2,0.6,0.2,1.6,0.8,3.2,3.7,7.5,49.4,2.1,4.5,46.9,0.3,0.4,75.0,1.6,3.1,52.9,1.301,0.63,G,False
Total,22,,,87.5,7.6,26.8,34.4,21.9,10.0,4.0,13.2,16.5,1.7,31.9,67.8,47.0,8.4,21.4,39.4,15.4,18.9,81.7,23.5,46.4,50.5,1.292,0.53,,False
