Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
A'ja Wilson,36,36,30.0,19.5,1.8,7.6,9.4,2.1,1.4,1.9,1.7,2.1,1.2,7.2,14.4,50.1,0.9,2.3,37.3,4.2,5.2,81.3,6.4,12.1,52.5,1.355,0.53,C,False
Aisha Sheppard,23,0,7.6,1.5,0.3,0.3,0.6,0.3,0.2,0.0,0.3,1.1,1.0,0.4,1.8,23.8,0.4,1.4,27.3,0.3,0.3,75.0,0.0,0.4,11.1,0.833,0.35,G,False
Chelsea Gray,35,35,29.7,13.7,0.3,2.9,3.2,6.1,1.6,0.3,2.3,1.5,2.7,5.2,10.7,49.1,1.0,2.9,34.0,2.3,2.5,91.0,4.3,7.8,54.6,1.290,0.54,G,False
Dearica Hamby,34,32,26.5,9.3,1.4,5.6,7.1,1.1,1.1,0.1,1.5,2.0,0.8,3.4,7.3,46.6,0.5,2.1,21.9,2.0,2.7,72.0,2.9,5.2,56.8,1.265,0.50,F,False
Iliana Rupert,17,0,13.1,3.8,0.6,1.6,2.3,0.9,0.4,0.0,0.5,2.1,1.7,1.5,3.2,46.3,0.8,2.2,36.8,0.1,0.2,33.3,0.6,0.9,68.8,1.204,0.59,C,False
Jackie Young,34,34,33.2,15.9,1.3,3.1,4.4,3.9,1.4,0.2,1.3,2.4,3.1,5.6,11.8,47.6,1.5,3.4,43.1,3.2,3.8,85.9,4.1,8.4,49.5,1.352,0.54,G,False
Kelsey Plum,36,36,32.8,20.2,0.3,2.4,2.7,5.1,1.0,0.1,2.6,2.5,2.0,6.8,14.8,46.0,3.1,7.5,42.0,3.5,4.1,83.9,3.6,7.3,50.0,1.367,0.57,G,False
Kiah Stokes,31,4,15.4,2.3,0.9,3.5,4.4,0.6,0.5,0.8,0.6,1.3,1.1,0.8,2.0,42.6,0.2,0.8,20.8,0.4,0.5,81.3,0.7,1.2,56.8,1.148,0.47,C,False
Kierstan Bell,21,1,5.8,1.3,0.2,0.7,0.9,0.3,0.1,0.1,0.2,0.5,1.4,0.5,1.6,30.3,0.1,1.0,13.6,0.2,0.2,100.0,0.3,0.5,63.6,0.818,0.35,F,False
Riquna Williams,21,0,18.0,6.7,0.2,1.8,2.0,1.2,0.4,0.1,0.3,1.7,4.2,2.1,5.6,38.1,1.6,4.4,36.6,0.8,1.0,76.2,0.5,1.2,44.0,1.186,0.53,G,False
Sydney Colson,18,0,6.8,1.6,0.2,0.3,0.4,1.0,0.1,0.0,0.4,0.8,2.6,0.6,1.8,31.3,0.2,0.6,27.3,0.3,0.3,100.0,0.4,1.2,33.3,0.875,0.36,G,False
Theresa Plaisance,31,2,12.9,4.0,0.5,2.1,2.6,0.5,0.3,0.4,0.6,1.3,0.8,1.4,3.7,37.1,1.0,2.9,34.8,0.2,0.3,70.0,0.4,0.9,44.4,1.069,0.50,F,False
Total,36,,,90.4,6.9,28.4,35.3,20.8,7.7,3.9,11.1,15.8,1.9,32.3,70.3,46.0,9.5,26.4,36.1,16.3,19.8,82.3,22.8,43.8,52.0,1.287,0.53,,False
