Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Angel Reese,30,30,31.6,14.7,4.1,8.5,12.6,3.7,1.5,0.7,3.9,3.4,0.9,5.1,11.1,45.8,0.1,0.7,18.2,4.3,5.7,75.6,5.0,10.4,47.8,1.317,0.46,F,False
Ariel Atkins,34,34,28.6,13.1,0.7,2.7,3.4,3.6,1.6,0.7,2.5,3.0,1.5,4.8,10.7,44.4,1.3,3.5,36.1,2.4,2.7,86.0,3.5,7.2,48.4,1.225,0.50,G,False
Courtney Vandersloot,7,7,27.3,10.6,0.3,2.9,3.1,5.3,1.6,0.3,2.4,1.9,2.2,4.1,9.4,43.9,0.7,3.3,21.7,1.6,1.9,84.6,3.4,6.1,55.8,1.121,0.48,G,False
Elizabeth Williams,43,15,21.1,8.5,1.8,3.3,5.2,1.8,0.7,0.9,1.3,1.4,1.4,3.7,7.6,48.0,0.0,0.0,0.0,1.2,1.9,61.7,3.7,7.6,48.0,1.113,0.48,C,False
Hailey Van Lith,29,0,12.4,3.5,0.1,0.9,1.1,1.6,0.4,0.1,1.2,0.8,1.3,1.3,3.8,33.9,0.2,1.1,16.1,0.8,1.1,74.2,1.1,2.7,41.0,0.936,0.36,G,False
Kamilla Cardoso,40,39,27.6,13.6,3.0,5.6,8.5,2.5,0.4,1.2,2.4,2.8,1.0,5.6,10.6,52.8,0.0,0.1,50.0,2.4,3.3,72.2,5.6,10.5,52.9,1.287,0.53,C,False
Kia Nurse,44,18,21.9,7.2,0.4,1.9,2.3,1.3,0.3,0.0,1.3,1.6,1.0,2.3,6.6,35.4,1.4,4.1,33.5,1.1,1.4,79.0,1.0,2.5,38.5,1.086,0.46,G,False
Maddy Westbeld,26,1,13.6,4.1,0.8,1.6,2.4,0.9,0.5,0.3,0.6,1.6,1.4,1.5,4.0,36.2,0.7,1.7,39.5,0.5,0.6,87.5,0.8,2.4,33.9,1.019,0.44,F,False
Marquesha Davis,2,0,10.5,1.0,1.0,0.0,1.0,0.0,0.0,0.5,1.5,0.5,0.0,0.5,3.0,16.7,0.0,0.5,0.0,0.0,0.0,0.0,0.5,2.5,20.0,0.333,0.17,G,False
Michaela Onyenwere,42,22,16.9,5.8,0.4,1.2,1.6,1.1,0.4,0.1,1.3,1.8,0.9,2.1,5.0,42.2,0.6,1.6,35.3,1.0,1.2,84.3,1.5,3.4,45.5,1.161,0.48,F,False
Moriah Jefferson,5,1,7.0,1.4,0.0,1.0,1.0,1.8,0.0,0.0,0.4,0.6,4.5,0.6,1.6,37.5,0.2,0.6,33.3,0.0,0.0,0.0,0.4,1.0,40.0,0.875,0.44,G,False
Rachel Banham,44,33,24.6,9.0,0.1,1.5,1.7,2.7,0.6,0.3,1.6,1.9,1.7,2.9,7.7,38.2,2.0,5.5,35.7,1.2,1.3,88.1,1.0,2.2,44.3,1.172,0.51,G,False
Rebecca Allen,44,17,18.7,5.1,0.4,2.2,2.6,1.3,0.5,0.5,0.9,1.4,1.5,1.9,5.5,34.2,1.0,3.0,31.8,0.4,0.7,61.3,0.9,2.5,37.0,0.938,0.43,G,False
Sevgi Uzun,18,3,18.7,3.7,0.1,1.3,1.4,2.7,0.5,0.0,1.8,1.6,1.5,1.6,4.5,34.6,0.2,1.2,18.2,0.4,0.6,70.0,1.3,3.3,40.7,0.827,0.37,G,False
Total,44,,,75.8,9.8,25.7,35.5,19.3,6.0,4.2,15.5,17.8,1.2,28.0,66.0,42.5,6.7,20.2,33.0,13.0,17.1,76.3,21.4,45.8,46.7,1.149,0.48,,False
