Timestamp,Initials,Height,Wingspan,Hand span,Reaction time,Free-throws made,Birth month,Hair color
2025-11-05 09:23:14,JM47,162,165,18.5,0.245,3,March,Brown
2025-11-05 09:24:08,KL29,175,178,21.0,0.198,4,July,Black
2025-11-05 09:25:32,AR63,158,160,17.2,0.267,2,January,Blonde
2025-11-05 09:26:45,TW12,168,171,19.8,0.221,3,September,Brown
2025-11-05 09:27:19,EP88,155,157,16.9,0.289,1,December,Red
2025-11-05 09:28:03,MK54,171,174,20.3,0.203,4,May,Black
2025-11-05 09:29:27,BN76,163,166,18.1,0.254,2,August,Brown
2025-11-05 09:30:51,SH23,169,172,19.5,0.215,3,February,Blonde
2025-11-05 09:31:34,DG41,177,181,21.7,0.187,5,November,Black
2025-11-05 09:32:18,VC95,160,162,17.6,0.276,2,April,Brown
2025-11-05 09:33:42,LR68,166,169,19.2,0.232,3,June,Brown
2025-11-05 09:34:56,FP19,172,175,20.5,0.209,4,October,Black
2025-11-05 09:35:29,HA52,159,161,17.8,0.261,2,March,Red
2025-11-05 09:36:13,NK84,174,177,21.2,0.194,4,August,Brown
2025-11-05 09:37:47,QT37,164,167,18.7,0.248,3,January,Blonde
2025-11-05 09:38:21,WB61,170,173,20.1,0.218,3,July,Black
2025-11-05 09:39:55,XM26,157,159,17.3,0.271,1,December,Brown
2025-11-05 09:40:38,YS73,168,171,19.6,0.227,3,May,Brown
2025-11-05 09:41:12,ZK49,176,179,21.5,0.191,4,September,Black
2025-11-05 09:42:46,AJ92,161,164,18.3,0.258,2,February,Blonde
2025-11-05 09:43:29,BL15,167,170,19.4,0.236,3,November,Brown
2025-11-05 09:44:03,CD58,173,176,20.8,0.201,4,April,Black
2025-11-05 09:45:37,DF81,156,158,17.1,0.283,1,June,Red
2025-11-05 09:46:21,EG34,165,168,18.9,0.243,3,October,Brown
2025-11-05 09:47:55,FH67,171,174,20.4,0.212,4,March,Black
2025-11-05 09:48:38,GK90,162,165,18.4,0.251,2,August,Blonde
2025-11-05 09:49:12,HN13,169,172,19.7,0.223,3,January,Brown
2025-11-05 09:50:46,JP56,175,178,21.3,0.196,4,July,Black
2025-11-05 09:51:29,KR79,158,160,17.5,0.269,2,December,Brown
2025-11-05 09:52:03,LT22,166,169,19.1,0.234,3,May,Brown
2025-11-05 09:53:37,MW45,172,175,20.6,0.206,4,September,Black
2025-11-05 09:54:21,NX88,160,162,17.9,0.265,2,February,Red
